android.xml
controversial.xml/UseObjectForClearerAPI
controversial.xml/UseConcurrentHashMap
coupling.xml
coupling.xml/CouplingBetweenObjects
coupling.xml/ExcessiveImports
coupling.xml/LooseCoupling
coupling.xml/LoosePackageCoupling
coupling.xml/LawOfDemeter
design.xml
design.xml/UseUtilityClass
design.xml/SimplifyBooleanReturns
design.xml/SimplifyBooleanExpressions
design.xml/SwitchStmtsShouldHaveDefault
design.xml/AvoidDeeplyNestedIfStmts
design.xml/AvoidReassigningParameters
design.xml/SwitchDensity
design.xml/ConstructorCallsOverridableMethod
design.xml/AccessorClassGeneration
design.xml/FinalFieldCouldBeStatic
design.xml/CloseResource
design.xml/NonStaticInitializer
design.xml/DefaultLabelNotLastInSwitchStmt
design.xml/NonCaseLabelInSwitchStatement
design.xml/OptimizableToArrayCall
design.xml/BadComparison
design.xml/EqualsNull
design.xml/ConfusingTernary
design.xml/InstantiationToGetClass
design.xml/IdempotentOperations
design.xml/SimpleDateFormatNeedsLocale
design.xml/ImmutableField
design.xml/UseLocaleWithCaseConversions
design.xml/AvoidProtectedFieldInFinalClass
design.xml/AssignmentToNonFinalStatic
design.xml/MissingStaticMethodInNonInstantiatableClass
design.xml/AvoidSynchronizedAtMethodLevel
design.xml/MissingBreakInSwitch
design.xml/UseNotifyAllInsteadOfNotify
design.xml/AvoidInstanceofChecksInCatchClause
design.xml/AbstractClassWithoutAbstractMethod
design.xml/SimplifyConditional
design.xml/CompareObjectsWithEquals
design.xml/PositionLiteralsFirstInComparisons
design.xml/PositionLiteralsFirstInCaseInsensitiveComparisons
design.xml/UnnecessaryLocalBeforeReturn
design.xml/NonThreadSafeSingleton
design.xml/UncommentedEmptyMethod
design.xml/UncommentedEmptyMethodBody
design.xml/UncommentedEmptyConstructor
design.xml/AvoidConstantsInterface
design.xml/UnsynchronizedStaticDateFormatter
design.xml/PreserveStackTrace
design.xml/UseCollectionIsEmpty
design.xml/ClassWithOnlyPrivateConstructorsShouldBeFinal
design.xml/EmptyMethodInAbstractClassShouldBeAbstract
design.xml/SingularField
design.xml/ReturnEmptyArrayRatherThanNull
design.xml/AbstractClassWithoutAnyMethod
design.xml/TooFewBranchesForASwitchStatement
design.xml/LogicInversion
design.xml/UseVarargs
design.xml/FieldDeclarationsShouldBeAtStartOfClass
design.xml/GodClass
design.xml/AvoidProtectedMethodInFinalClassNotExtending
empty.xml
empty.xml/EmptyCatchBlock
empty.xml/EmptyIfStmt
empty.xml/EmptyWhileStmt
empty.xml/EmptyTryBlock
empty.xml/EmptyFinallyBlock
empty.xml/EmptySwitchStatements
empty.xml/EmptySynchronizedBlock
empty.xml/EmptyStatementNotInLoop
empty.xml/EmptyInitializer
empty.xml/EmptyStatementBlock
empty.xml/EmptyStaticInitializer
finalizers.xml
finalizers.xml/EmptyFinalizer
finalizers.xml/FinalizeOnlyCallsSuperFinalize
finalizers.xml/FinalizeOverloaded
finalizers.xml/FinalizeDoesNotCallSuperFinalize
finalizers.xml/FinalizeShouldBeProtected
finalizers.xml/AvoidCallingFinalize
imports.xml
imports.xml/DuplicateImports
imports.xml/DontImportJavaLang
imports.xml/UnusedImports
imports.xml/ImportFromSamePackage
imports.xml/TooManyStaticImports
imports.xml/UnnecessaryFullyQualifiedName
j2ee.xml
j2ee.xml/UseProperClassLoader
j2ee.xml/MDBAndSessionBeanNamingConvention
j2ee.xml/RemoteSessionInterfaceNamingConvention
j2ee.xml/LocalInterfaceSessionNamingConvention
j2ee.xml/LocalHomeNamingConvention
j2ee.xml/RemoteInterfaceNamingConvention
j2ee.xml/DoNotCallSystemExit
j2ee.xml/StaticEJBFieldShouldBeFinal
j2ee.xml/DoNotUseThreads
javabeans.xml
javabeans.xml/BeanMembersShouldSerialize
javabeans.xml/MissingSerialVersionUID
junit.xml
junit.xml/JUnitStaticSuite
junit.xml/JUnitSpelling
junit.xml/JUnitAssertionsShouldIncludeMessage
junit.xml/JUnitTestsShouldIncludeAssert
junit.xml/TestClassWithoutTestCases
junit.xml/UnnecessaryBooleanAssertion
junit.xml/UseAssertEqualsInsteadOfAssertTrue
junit.xml/UseAssertSameInsteadOfAssertTrue
junit.xml/UseAssertNullInsteadOfAssertTrue
junit.xml/SimplifyBooleanAssertion
junit.xml/JUnitTestContainsTooManyAsserts
junit.xml/UseAssertTrueInsteadOfAssertEquals
logging-jakarta-commons.xml
logging-jakarta-commons.xml/UseCorrectExceptionLogging
logging-jakarta-commons.xml/ProperLogger
logging-jakarta-commons.xml/GuardDebugLogging
logging-jakarta-commons.xml/GuardLogStatement
logging-java.xml
logging-java.xml/MoreThanOneLogger
logging-java.xml/LoggerIsNotStaticFinal
logging-java.xml/SystemPrintln
logging-java.xml/AvoidPrintStackTrace
logging-java.xml/GuardLogStatementJavaUtil
migrating.xml
migrating.xml/ReplaceVectorWithList
migrating.xml/ReplaceHashtableWithMap
migrating.xml/ReplaceEnumerationWithIterator
migrating.xml/AvoidEnumAsIdentifier
migrating.xml/AvoidAssertAsIdentifier
migrating.xml/IntegerInstantiation
migrating.xml/ByteInstantiation
migrating.xml/ShortInstantiation
migrating.xml/LongInstantiation
migrating.xml/JUnit4TestShouldUseBeforeAnnotation
migrating.xml/JUnit4TestShouldUseAfterAnnotation
migrating.xml/JUnit4TestShouldUseTestAnnotation
migrating.xml/JUnit4SuitesShouldUseSuiteAnnotation
migrating.xml/JUnitUseExpected
naming.xml
naming.xml/ShortVariable
naming.xml/LongVariable
naming.xml/ShortMethodName
naming.xml/VariableNamingConventions
naming.xml/MethodNamingConventions
naming.xml/ClassNamingConventions
naming.xml/AbstractNaming
naming.xml/AvoidDollarSigns
naming.xml/MethodWithSameNameAsEnclosingClass
naming.xml/SuspiciousHashcodeMethodName
naming.xml/SuspiciousConstantFieldName
naming.xml/SuspiciousEqualsMethodName
naming.xml/AvoidFieldNameMatchingTypeName
naming.xml/AvoidFieldNameMatchingMethodName
naming.xml/NoPackage
naming.xml/PackageCase
naming.xml/MisleadingVariableName
naming.xml/BooleanGetMethodName
naming.xml/ShortClassName
naming.xml/GenericsNaming
optimizations.xml
optimizations.xml/LocalVariableCouldBeFinal
optimizations.xml/MethodArgumentCouldBeFinal
optimizations.xml/AvoidInstantiatingObjectsInLoops
optimizations.xml/UseArrayListInsteadOfVector
optimizations.xml/SimplifyStartsWith
optimizations.xml/UseStringBufferForStringAppends
optimizations.xml/UseArraysAsList
optimizations.xml/AvoidArrayLoops
optimizations.xml/UnnecessaryWrapperObjectCreation
optimizations.xml/AddEmptyString
optimizations.xml/RedundantFieldInitializer
optimizations.xml/PrematureDeclaration
strictexception.xml
strictexception.xml/AvoidCatchingThrowable
strictexception.xml/SignatureDeclareThrowsException
strictexception.xml/ExceptionAsFlowControl
strictexception.xml/AvoidCatchingNPE
strictexception.xml/AvoidThrowingRawExceptionTypes
strictexception.xml/AvoidThrowingNullPointerException
strictexception.xml/AvoidRethrowingException
strictexception.xml/DoNotExtendJavaLangError
strictexception.xml/DoNotThrowExceptionInFinally
strictexception.xml/AvoidThrowingNewInstanceOfSameException
strictexception.xml/AvoidCatchingGenericException
strictexception.xml/AvoidLosingExceptionInformation
strings.xml
strings.xml/AvoidDuplicateLiterals
strings.xml/StringInstantiation
strings.xml/StringToString
strings.xml/InefficientStringBuffering
strings.xml/UnnecessaryCaseChange
strings.xml/UseStringBufferLength
strings.xml/AppendCharacterWithChar
strings.xml/ConsecutiveAppendsShouldReuse
strings.xml/ConsecutiveLiteralAppends
strings.xml/UseIndexOfChar
strings.xml/InefficientEmptyStringCheck
strings.xml/InsufficientStringBufferDeclaration
strings.xml/UselessStringValueOf
strings.xml/StringBufferInstantiationWithChar
strings.xml/UseEqualsToCompareStrings
strings.xml/AvoidStringBufferField
sunsecure.xml
sunsecure.xml/MethodReturnsInternalArray
sunsecure.xml/ArrayIsStoredDirectly
typeresolution.xml
typeresolution.xml/LooseCoupling
typeresolution.xml/CloneMethodMustImplementCloneable
typeresolution.xml/UnusedImports
typeresolution.xml/SignatureDeclareThrowsException
unnecessary.xml
unnecessary.xml/UnnecessaryConversionTemporary
unnecessary.xml/UnnecessaryReturn
unnecessary.xml/UnnecessaryFinalModifier
unnecessary.xml/UselessOverridingMethod
unnecessary.xml/UselessOperationOnImmutable
unnecessary.xml/UnusedNullCheckInEquals
unnecessary.xml/UselessParentheses
unusedcode.xml
unusedcode.xml/UnusedPrivateField
unusedcode.xml/UnusedLocalVariable
unusedcode.xml/UnusedPrivateMethod
unusedcode.xml/UnusedFormalParameter
unusedcode.xml/UnusedModifier
cleancode.xml
cleancode.xml/BooleanArgumentFlag
cleancode.xml/ElseExpression
cleancode.xml/NestedScopes
cleancode.xml/StaticAccess
controversial.xml/CamelCaseClassName
controversial.xml/CamelCaseMethodName
controversial.xml/CamelCaseParameterName
controversial.xml/CamelCasePropertyName
controversial.xml/CamelCaseVariableName
controversial.xml/Superglobals
design.xml/CouplingBetweenObjects
design.xml/DepthOfInheritance
design.xml/NumberOfChildren
codesize.xml/ExcessiveClassComplexity
design.xml/EvalExpression
design.xml/ExitExpression
design.xml/GotoStatement
